Profile,Endpoint,Hostname,Time,RequestCountTotal,RequestCountHttpStatus2xx,RequestCountHttpStatus3xx,RequestCountHttpStatus4xx,RequestCountHttpStatus5xx,RequestCountHttpStatusOthers,RequestCountHttpStatus200,RequestCountHttpStatus206,RequestCountHttpStatus302,RequestCountHttpStatus304,RequestCountHttpStatus404,RequestCountCacheHit,RequestCountCacheMiss,RequestCountCacheNoCache,RequestCountCacheUncacheable,RequestCountCacheOthers,EgressTotal,EgressHttpStatus2xx,EgressHttpStatus3xx,EgressHttpStatus4xx,EgressHttpStatus5xx,EgressHttpStatusOthers,EgressCacheHit,EgressCacheMiss,EgressCacheNoCache,EgressCacheUncacheable,EgressCacheOthers
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 12:00:00 AM,80,80,0,0,0,0,,,,,,80,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 1:00:00 AM,80,80,0,0,0,0,,,,,,80,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 2:00:00 AM,60,60,0,0,0,0,,,,,,60,0,0,0,0,0.07,0.07,0,0,0,0,0.07,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 3:00:00 AM,80,80,0,0,0,0,,,,,,80,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 4:00:00 AM,20,20,0,0,0,0,,,,,,20,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 5:00:00 AM,40,40,0,0,0,0,,,,,,40,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 6:00:00 AM,40,40,0,0,0,0,,,,,,40,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 7:00:00 AM,59,59,0,0,0,0,,,,,,59,0,0,0,0,0.07,0.07,0,0,0,0,0.07,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 8:00:00 AM,81,81,0,0,0,0,,,,,,81,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 9:00:00 AM,77,77,0,0,0,0,,,,,,77,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 10:00:00 AM,81,81,0,0,0,0,,,,,,81,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 11:00:00 AM,80,80,0,0,0,0,,,,,,80,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 12:00:00 PM,80,80,0,0,0,0,,,,,,80,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 1:00:00 PM,81,81,0,0,0,0,,,,,,81,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 2:00:00 PM,81,81,0,0,0,0,,,,,,81,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 3:00:00 PM,80,80,0,0,0,0,,,,,,80,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 4:00:00 PM,80,80,0,0,0,0,,,,,,80,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 5:00:00 PM,80,80,0,0,0,0,,,,,,80,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 6:00:00 PM,79,79,0,0,0,0,,,,,,79,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 7:00:00 PM,79,79,0,0,0,0,,,,,,79,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 8:00:00 PM,79,79,0,0,0,0,,,,,,79,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/10/2017 9:00:00 PM,12,12,0,0,0,0,,,,,,12,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/12/2017 6:00:00 PM,24,24,0,0,0,0,,,,,,23,1,0,0,0,0.03,0.03,0,0,0,0,0.03,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/12/2017 7:00:00 PM,79,79,0,0,0,0,,,,,,79,0,0,0,0,0.09,0.09,0,0,0,0,0.09,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/12/2017 8:00:00 PM,71,71,0,0,0,0,,,,,,71,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/12/2017 9:00:00 PM,67,67,0,0,0,0,,,,,,67,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/12/2017 10:00:00 PM,69,69,0,0,0,0,,,,,,69,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
TESTTESTTEST,TEST9962016,test9962016.azureedge.net,4/12/2017 11:00:00 PM,69,69,0,0,0,0,,,,,,69,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0
