Configuration,Rule Source,Sarif Identifier,Alerts
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/shell-command-injection-from-environment,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/sql-injection,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/stack-trace-exposure,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/stored-xss,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/summary/lines-of-code,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/summary/lines-of-user-code,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/tainted-format-string,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/template-object-injection,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/type-confusion-through-parameter-tampering,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/unnecessary-use-of-cat,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/unsafe-code-construction,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/unsafe-deserialization,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/unsafe-dynamic-method-access,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/unsafe-html-expansion,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/unsafe-jquery-plugin,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/unvalidated-dynamic-method-call,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/useless-regexp-character-escape,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/user-controlled-bypass,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/weak-cryptographic-algorithm,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/xml-bomb,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/xpath-injection,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/xss,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/xss-through-dom,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/xss-through-exception,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/xxe,0
/language:javascript-typescript,codeql/javascript-queries (1.5.4+a46f8fb0d9533114f3c634d7ec1e09f4c8b1c505),js/zipslip,0
